limb.1	Depdc2 (+33667)
limb.65	Col4a4 (+109786), Rhbdd1 (+136744)
limb.66	Dner (+146370)
limb.67	B3gnt7 (-60092), Armc9 (+88596)
limb.68	B3gnt7 (-3142)
limb.69	Nmur1 (-46385), Ptma (-92210)
limb.70	Sag (+43596), Dgkd (-68304)
limb.71	Iqca (+33925), Asb18 (-104899)
limb.72	Mlph (-17846), Col6a3 (-53489)
limb.73	Ndufa10 (+102022), Hdac4 (-223242)
limb.74	Gpc1 (-40175), Otos (-142670)
limb.75	Sned1 (-15023), Agxt (+85598)
limb.76	Rnf152 (+267546), Cdh20 (+320305)
limb.77	Bcl2 (+116304), Phlpp (+424975)
limb.78	Tcfcp2l1 (+197729), Gli2 (+227945)
limb.79	Tcfcp2l1 (+198779), Gli2 (+226895)
limb.80	Gli2 (+151283), Tcfcp2l1 (+274391)
limb.81	Gli2 (+1158), Tcfcp2l1 (+424516)
limb.82	Gli2 (-405)
limb.83	Inhbb (-34676), Ralb (+47704)
limb.84	Ikbke (-99061), Srgap2 (+146969)
limb.85	Srgap2 (+269)
limb.86	Atp2b4 (+11438), Lax1 (-52295)
limb.87	Atp2b4 (-9325), Optc (+144098)
limb.88	Prelp (-20272), Fmod (-95866)
limb.89	Btg2 (+11769), Fmod (+29871)
limb.90	Ptprv (+2814), Lgr6 (-21660)
limb.91	Csrp1 (-69461), Nav1 (-74027)
limb.92	Zfp281 (+103729), Nr5a2 (+231774)
limb.93	Nr5a2 (-413363), Ptprc (+801455)
limb.94	Ptprc (+274780), Nr5a2 (-940038)
limb.95	Atp6v1g3 (+71573), Nek7 (+274385)
limb.96	Atp6v1g3 (+132336), Nek7 (+213622)
limb.97	Atp6v1g3 (+147498), Nek7 (+198460)
limb.98	Prg4 (-127631), Hmcn1 (+399639)
limb.99	Edem3 (-69328), Rnf2 (-185223)
limb.100	Rgs8 (-11116), Npl (-92207)
limb.101	Mr1 (+63222), Cacna1e (-357638)
limb.102	BC034090 (+19807), Stx6 (+54230)
limb.103	C530043G21Rik (-35847), Angptl1 (-84266)
limb.104	C530043G21Rik (-42160), Angptl1 (-77953)
limb.105	Pigc (+15182), Dnm3 (+493660)
limb.106	Pigc (+30969), Dnm3 (+477873)
limb.107	Pigc (+35357), Dnm3 (+473485)
limb.108	Pigc (+46282), Dnm3 (+462560)
limb.109	Pigc (+47994), Dnm3 (+460848)
limb.110	Pigc (+51419), Dnm3 (+457423)
limb.111	Pigc (+54944), Dnm3 (+453898)
limb.112	Pigc (+67682), Dnm3 (+441160)
limb.113	Pigc (+105857), Dnm3 (+402985)
limb.114	Pigc (+157457), Dnm3 (+351385)
limb.115	Pigc (+218157), Dnm3 (+290685)
limb.116	Pigc (+248132), Dnm3 (+260710)
limb.117	Dnm3 (+196035), Pigc (+312807)
limb.118	Fmo4 (-19654), Fmo1 (+34241)
limb.119	Prrx1 (-44657), Scyl1bp1 (+45334)
limb.120	Scyl1bp1 (-57729), Kifap3 (-318309)
limb.121	Scyl1bp1 (-171341), Kifap3 (-204697)
limb.122	Kifap3 (-121122), Scyl1bp1 (-254916)
limb.123	Kifap3 (-96522), Scyl1bp1 (-279516)
limb.124	Kifap3 (-22134), Scyl1bp1 (-353904)
limb.125	Kifap3 (+64516), Scyl3 (-85869)
limb.126	Kifap3 (+73516), Scyl3 (-76869)
limb.127	Scyl3 (-31794), Kifap3 (+118591)
limb.128	Mpzl1 (-60966), Creg1 (-68273)
limb.129	Cd247 (+45834), Pou2f1 (+168077)
limb.130	Uck2 (+682)
limb.131	Ddr2 (-598)
limb.132	Ppox (+4)
limb.133	Itln1 (-5627), Cd244 (-18273)
limb.134	Cd244 (+3577), Ly9 (+44590)
limb.135	Atp1a2 (-3256)
limb.136	Efcab2 (+144851), Kif26b (-314114)
limb.137	Efcab2 (+163226), Kif26b (-295739)
limb.138	Kif26b (-136339), Efcab2 (+322626)
limb.139	Kif26b (-131751), Efcab2 (+327214)
limb.140	Kif26b (+5811), Smyd3 (+647346)
limb.141	Kif26b (+197236), Smyd3 (+455921)
limb.142	Smyd3 (+319883), Kif26b (+333274)
limb.143	Smyd3 (+222108), Kif26b (+431049)
limb.144	Smyd3 (+87758), Kif26b (+565399)
limb.145	9630058J23Rik (+35316), Sccpdh (-86386)
limb.146	Cabc1 (+61805), Cdc42bpa (+173447)
limb.147	Psen2 (-40094), Itpkb (-44481)
limb.148	Dusp10 (+210036), Hlx (+488111)
limb.149	Dusp10 (+319861), Hlx (+378286)
limb.150	Kctd3 (+280743), Ush2a (+464259)
limb.151	Smyd2 (-846)
limb.152	Hhat (-25098), Syt14 (+239579)
limb.153	Hhat (-29073), Syt14 (+235604)
limb.154	Hhat (-64236), Syt14 (+200441)
limb.1170	Syne1 (-40458), Syne1 (+315527)
limb.1171	Nup43 (+149), Pcmt1 (-4415)
limb.1172	Ust (+294610), Map3k7ip2 (-299343)
limb.1173	Sash1 (+55330), Ust (-311915)
limb.1174	Sash1 (+32317), Ust (-334928)
limb.1175	Grm1 (+227741), Rab32 (-296408)
limb.1176	Cited2 (-715114)
limb.1177	Cited2 (-648314)
limb.1178	Cited2 (-622251)
limb.1179	Cited2 (-509764)
limb.1180	Cited2 (+4574), Reps1 (-361628)
limb.1181	Tnfaip3 (-89953), Olig3 (-251219)
limb.1182	Mtap7 (+55831), Bclaf1 (-107624)
limb.1183	Aldh8a1 (+211482), Sgk (-405913)
limb.1184	Eya4 (-182754), Rps12 (+254543)
limb.1185	Rps12 (+76280), Eya4 (-361017)
limb.1186	Rps12 (+75130), Eya4 (-362167)
limb.1187	Arg1 (+231)
limb.1188	Epb4.1l2 (-36252), Akap7 (-72957)
limb.1189	Epb4.1l2 (-22415), Akap7 (-86794)
limb.1190	Lama2 (+19522), Arhgap18 (+824908)
limb.1191	Rspo3 (-189907), 2610036L11Rik (+474789)
limb.1192	2610036L11Rik (-127636), Trmt11 (+272592)
limb.1193	Hddc2 (-12973), Hey2 (-457649)
limb.1194	Hs3st5 (-21737)
limb.1195	Marcks (-2094)
limb.1196	Marcks (-258969)
limb.1197	Traf3ip2 (+47136), Rev3l (-72090)
limb.1198	Armc2 (-38790), Foxo3a (+219572)
limb.1199	Sobp (+76673), Scml4 (+237140)
limb.1200	Cd24a (-139424), Pdss2 (+217983)
limb.1201	Cd24a (+143751), Qrsl1 (+178816)
limb.1202	Prep (+73431), Popdc3 (-148660)
limb.1203	Popdc3 (-59085), Prep (+163006)
limb.1204	Hace1 (+236293)
limb.1205	Hace1 (+316306)
limb.1206	Gja1 (+516035), Hsf2 (-593104)
limb.1207	Hsf2 (-506479), Gja1 (+602660)
limb.1208	Hsf2 (-445966), Gja1 (+663173)
limb.1209	Dnajb12 (+23212), Ddit4 (+48967)
limb.1210	Ddit4 (-370)
limb.1211	Reep3 (+130017)
limb.1212	Reep3 (+92254)
limb.1213	Arid5b (-77139), Tmem26 (-367903)
limb.1214	Arid5b (-78202), Tmem26 (-366840)
limb.1215	Rhobtb1 (+40746), Cdc2a (+99509)
limb.1216	Cdc2a (+38722), Rhobtb1 (+101533)
limb.1217	Cdc2a (+484)
limb.1218	Ank3 (+50482), Slc16a9 (-661086)
limb.1219	Zwint (+213083), Pcdh15 (-953905)
limb.1220	Itgb2 (-43305), Adarb1 (-68770)
limb.1221	Madcam1 (-9456), Shc2 (-17549)
limb.1222	Ptbp1 (-1599)
limb.1223	Arid3a (+1834), Grin3b (-41818)
limb.1224	Arid3a (+5796), Grin3b (-37856)
limb.1225	Btbd2 (-7462), Mknk2 (+15872)
limb.1226	Chst11 (+57334), Slc41a2 (+294986)
limb.1227	Chst11 (+149521), Slc41a2 (+202799)
limb.1228	Nuak1 (+267178), Appl2 (-524629)
limb.1229	Nuak1 (+27115), Appl2 (-764692)
limb.1230	Nuak1 (-397)
limb.1231	Timp3 (-5069), Fbxo7 (+273414)
limb.1232	Syn3 (+72996), Timp3 (+125431)
limb.1233	Igf1 (+4312), Pmch (-222029)
limb.1234	Tmpo (-10024)
limb.1235	Tmpo (-51086)
limb.1236	Tmpo (-58136)
limb.1237	Tmpo (-70161)
limb.1238	Nedd1 (+164979)
limb.1239	Nudt4 (-144321), Eea1 (-232196)
limb.1240	Nudt4 (-165958), Eea1 (-210559)
limb.1241	Btg1 (+430590), Dcn (-434750)
limb.1242	Dusp6 (-177)
limb.1243	Dusp6 (+5723), Csl (+490704)
limb.1244	Dusp6 (+35961), Csl (+460466)
limb.1245	Dusp6 (+96298), Csl (+400129)
limb.1246	Dusp6 (+127573), Csl (+368854)
limb.1247	Csl (+10616), Dusp6 (+485811)
limb.1248	Csl (-52834), Kitl (-203332)
limb.1249	NONE
limb.1250	E2f7 (+49492), Csrp2 (-125222)
limb.1251	Lgr5 (+67473), Thap2 (-135872)
limb.1252	Ptprb (+69690), Kcnmb4 (+102328)
limb.1253	Cpm (-45636), Cpsf6 (-206921)
limb.1254	Mdm2 (+40459), Cpm (+40751)
limb.1255	Mdm1 (-19737), Rap1b (-276121)
limb.1256	Grip1 (-57417), Cand1 (-522045)
limb.1257	Tmbim4 (+38731), Hmga2 (+229378)
limb.1258	Hmga2 (+43240), Tmbim4 (+224869)
limb.1259	Msrb3 (+26382), Hmga2 (-395535)
limb.1260	4930505D03Rik (+82421), Wif1 (+194365)
limb.1261	4930505D03Rik (+67184), Wif1 (+209602)
limb.1262	Rassf3 (-29270), Tbk1 (+81227)
limb.1263	Avpr1a (-162704), Tmem5 (-188693)
limb.1264	Ppm1h (+79526), Mon2 (+317480)
limb.1265	Ppm1h (+90213), Mon2 (+306793)
limb.1266	Lrig3 (-179131), Slc16a7 (-458610)
limb.1267	Lrig3 (-156156), Slc16a7 (-481585)
limb.1268	Lrig3 (-43806), Slc16a7 (-593935)
limb.1269	Lrig3 (+1569), Xrcc6bp1 (+933510)
limb.1270	Lrig3 (+3094), Xrcc6bp1 (+931985)
limb.1271	Lrig3 (+4256), Xrcc6bp1 (+930823)
limb.1272	Lrig3 (+222944), Xrcc6bp1 (+712135)
limb.1273	Ctdsp2 (-161)
limb.1274	Baz2a (+4447), Rbms2 (+79661)
limb.1275	Mmp19 (-11303), Dgka (-35614)
limb.1276	Pik3ip1 (+36017), Limk2 (+42487)
limb.1277	Smtn (-96)
limb.1278	Kremen1 (-35750), Znrf3 (+147487)
limb.1279	Igfbp3 (-462)
limb.1280	Tns3 (+5262)
limb.1281	Pkd1l1 (+86895), Tns3 (-120450)
limb.1282	Fignl1 (-428)
limb.1283	Ddc (+35153), Fignl1 (-46316)
limb.1284	Ddc (+11503), Fignl1 (-69966)
limb.1285	Ddc (-47147), Grb10 (+99807)
limb.1286	Etaa1 (-497578), Meis1 (+567257)
limb.1287	Meis1 (+101932), Etaa1 (-962903)
limb.1288	Bcl11a (-5791), Papolg (-177073)
limb.1289	Bcl11a (+552559)
limb.1290	Bcl11a (+672309)
limb.1291	Bcl11a (+894446)
limb.1292	NONE
limb.1293	Fancl (-176521)
limb.1294	Fancl (+102942), Vrk2 (+103585)
limb.1295	1700008A04Rik (-101290), Fgf18 (+221537)
limb.1296	Fgf18 (+141924), 1700008A04Rik (-180903)
limb.1297	Fgf18 (+69087), 1700008A04Rik (-253740)
limb.1298	Fgf18 (+34799), 1700008A04Rik (-288028)
limb.1299	Slit3 (-65909), Dock2 (-271726)
limb.1300	Slit3 (+249253), Pank3 (-398784)
limb.1301	Pank3 (-299396), Slit3 (+348641)
limb.1302	Mat2b (+297764)
limb.1303	Ebf1 (+518802), Clint1 (-715028)
limb.1304	Clint1 (-462253), Ebf1 (+771577)
limb.1305	Clint1 (-410528), Ebf1 (+823302)
limb.1306	Clint1 (-395015), Ebf1 (+838815)
limb.1307	Clint1 (-365978), Ebf1 (+867852)
limb.1308	Clint1 (-301265), Ebf1 (+932565)
limb.1309	Clint1 (-258865), Ebf1 (+974965)
limb.1310	Clint1 (-173278)
limb.1311	Clint1 (-13178)
limb.1312	Itk (+27941), Cyfip2 (-49224)
limb.1313	Vdac1 (-466)
limb.1314	Pdlim4 (+10482), Slc22a4 (-30396)
limb.1315	Pdlim4 (+8582), Slc22a4 (-32296)
limb.1316	P4ha2 (+25529), Csf2 (+122850)
limb.1317	G3bp1 (+49672), Glra1 (+88366)
limb.1318	Tmem11 (-17117), Map2k3 (-35908)
limb.1319	Tnfrsf13b (+8154), Usp22 (+26085)
limb.1320	Mfap4 (-508)
limb.1321	Pmp22 (+308139), Hs3st3b1 (+482635)
limb.1322	Hs3st3b1 (+256735), Pmp22 (+534039)
limb.1323	Hs3st3b1 (+71948), Pmp22 (+718826)
limb.1324	Elac2 (-178123), Hs3st3a1 (+365642)
limb.1325	Elac2 (-145348), Hs3st3a1 (+398417)
limb.1326	Elac2 (-78986), Hs3st3a1 (+464779)
limb.1327	Stx8 (+96516), Ntn1 (+323827)
limb.1328	Ntn1 (+190815), Stx8 (+229528)
limb.1329	Myh10 (-53616), BC024997 (+82113)
limb.1330	Hes7 (-679)
limb.1331	Jmjd3 (-5151), Dnahc2 (+130284)
limb.1332	Dnahc2 (+2322), Jmjd3 (-133113)
limb.1333	Asgr1 (+15855), Asgr2 (-22420)
limb.1334	Hic1 (+120294), Smg6 (+124089)
limb.1335	Hic1 (+22731), Smg6 (+221652)
limb.1336	Slc43a2 (+9276), Pitpna (-47122)
limb.1337	Pitpna (-16059), Slc43a2 (+40339)
limb.1338	Rph3al (-26790), Vps53 (+241781)
limb.1339	Nxn (+74500), Rnmtl1 (+80854)
limb.1340	Timm22 (+22959), Abr (+79270)
limb.1341	Abr (+32195), Timm22 (+70034)
limb.1342	Traf4 (+1603), Eral1 (-83579)
limb.1343	Rab34 (-98)
limb.1344	Rab11fip4 (+78999), Utp6 (+292176)
limb.1345	Utp6 (+156063), Rab11fip4 (+215112)
limb.1346	Accn1 (-164521), 1700071K01Rik (+256115)
limb.1347	1700071K01Rik (+124128), Accn1 (-296508)
limb.1348	Rffl (+35208), Lig3 (+54401)
limb.1349	Mrm1 (+110916), Lhx1 (-183065)
limb.1350	Tbx2 (-199829), Bcas3 (+279572)
limb.1351	Tbx2 (-119579), Bcas3 (+359822)
limb.1352	Tbx2 (-117879), Bcas3 (+361522)
limb.1353	Tbx2 (-92966), Bcas3 (+386435)
limb.1354	Tbx4 (-13714), Tbx2 (+43734)
limb.1355	Tubd1 (+25428), Tmem49 (+113386)
limb.1356	Ypel2 (+24563), Dhx40 (-161539)
limb.1357	Trim37 (+72)
limb.1358	Mrps23 (-43019), Vezf1 (+93058)
limb.1359	Mrps23 (+250868), Msi2 (+310755)
limb.1360	Msi2 (+27817), Mrps23 (+533806)
limb.1361	Msi2 (+24017), Mrps23 (+537606)
limb.1362	Akap1 (-33101), Scpep1 (+57740)
limb.1363	Tob1 (-50792), Spag9 (+164571)
limb.1364	Phb (+11359), Zfp652 (-70651)
limb.1365	Hoxb4 (+560)
limb.1366	Kpnb1 (+5)
limb.1367	Mllt6 (-34025), P140 (-54261)
limb.1368	Fbxo47 (+6542), Lasp1 (+77940)
limb.1369	Fbxo47 (-48308), Plxdc1 (+53918)
limb.1370	Ikzf3 (+48044), Grb7 (+51153)
limb.1371	Thra (-1174)
limb.1372	Rara (+4641), Gjc1 (+40679)
limb.1373	Tns4 (+17078), Igfbp4 (+30964)
limb.1374	Ccr7 (+7228), Tns4 (-58547)
limb.1375	Krt20 (-12971), Krt23 (+41986)
limb.1376	Plekhh3 (+490)
limb.1377	Itga2b (-133993), Adam11 (-157869)
limb.1378	Adam11 (-137219), Itga2b (-154643)
limb.1379	Tlk2 (-24983), Mettl2 (+27337)
limb.1380	Mrc2 (+303)
limb.1381	Ccdc44 (+642)
limb.1382	Pitpnc1 (+1308), Nol11 (-280152)
limb.1383	Prkca (+128241), Cacng5 (-304325)
limb.1384	Axin2 (-162204), Apoh (+362849)
limb.1385	Rgs9 (+28194), Axin2 (+349621)
limb.1386	Abca8b (+92967), BC029169 (-180593)
limb.1387	Map2k6 (+250640), Kcnj16 (-318271)
limb.1388	Map2k6 (+268752), Kcnj16 (-300159)
limb.1389	Kcnj2 (+233548)
limb.1390	Kcnj2 (+762573), Sox9 (-953487)
limb.1391	Sox9 (-820312), Kcnj2 (+895748)
limb.1392	Sox9 (-817975), Kcnj2 (+898085)
limb.1393	Sox9 (-753825), Kcnj2 (+962235)
limb.1394	Sox9 (-556925)
limb.1395	Sox9 (-369487)
limb.1396	Sox9 (+232213), Slc39a11 (+551324)
limb.1397	Slc39a11 (+381549), Sox9 (+401988)
limb.1398	Cdc42ep4 (-34506), Sdk2 (+280127)
limb.1399	Sdk2 (-132498), Rpl38 (-470094)
limb.1400	Sdk2 (-173461), Rpl38 (-429131)
limb.1401	Gprc5c (-21956), Gpr142 (+31175)
limb.1402	Rnf157 (-5242), Prpsap1 (+72063)
limb.1403	Sec14l1 (-79400), Mgat5b (+116986)
limb.1404	Sept9 (+66351), Tnrc6c (-388277)
limb.1405	Tbc1d16 (-813)
limb.1406	2410002I01Rik (-16256), 1810073N04Rik (+36287)
limb.1407	1810073N04Rik (-39000), Bahcc1 (-46425)
limb.1408	Bahcc1 (-5212), 1810073N04Rik (-80213)
limb.1409	Bahcc1 (-3125)
limb.1410	Bahcc1 (+988)
limb.1411	Bahcc1 (+4438), Actg1 (+107347)
limb.1412	Lrrc45 (-6586), Aspscr1 (+34349)
limb.1413	Csnk1d (+421)
limb.1414	Dnmt3a (+36458), Pomc1 (-111513)
limb.1415	Apob (-365978)
limb.1416	Sdc1 (+27349), Laptm4a (-122562)
limb.1417	Laptm4a (-73862), Sdc1 (+76049)
limb.1418	Ttc32 (+228598), Osr1 (-315902)
limb.1419	Osr1 (-235440), Ttc32 (+309060)
limb.1420	Osr1 (-233577), Ttc32 (+310923)
limb.1421	Osr1 (+176998), Nt5c1b (-618549)
limb.1422	Mycn (+540063), Vsnl1 (-965032)
limb.1423	Mycn (+432376)
limb.1424	Mycn (-102174), Ddx1 (+205292)
limb.1425	Mycn (-106587), Ddx1 (+200879)
limb.1426	Ddx1 (+64367), Mycn (-243099)
limb.1427	4933425L03Rik (+275857)
limb.1428	Trib2 (-237122), Lpin1 (+526997)
limb.1429	Greb1 (+941)
limb.1430	Id2 (+3132), C330002I19Rik (+118004)
limb.1431	Id2 (+1220), C330002I19Rik (+119916)
limb.1432	Id2 (-2955)
limb.1433	Id2 (-438030), Rnf144a (+881158)
limb.1434	Sox11 (+365939), Tyki (+507558)
limb.1435	Sox11 (+160076), Tyki (+713421)
limb.1436	Sox11 (+155139), Tyki (+718358)
limb.1437	Sox11 (-67961)
limb.1438	Sox11 (-123361)
limb.1439	Sox11 (-221349), 1110015M06Rik (+984276)
limb.1440	Sox11 (-233249), 1110015M06Rik (+972376)
limb.1441	Tssc1 (+48157), Myt1l (-728361)
limb.1442	Myt1l (+169814), Pxdn (-239838)
limb.1443	Sntg2 (+80267), Tpo (-160452)
limb.1444	Tmem18 (-73310), Sntg2 (-137833)
limb.1445	9030611O19Rik (-47220), Sh3yl1 (+115079)
limb.1446	Ferd3l (-196252), Twistnb (+302549)
limb.1447	Twist1 (+242615), Hdac9 (+328588)
limb.1448	Twist1 (+258202), Hdac9 (+313001)
limb.1449	Twist1 (+262865), Hdac9 (+308338)
limb.1450	Hdac9 (-65437), Prps1l1 (-390257)
limb.1451	Hdac9 (-75787), Prps1l1 (-379907)
limb.1452	Prps1l1 (-192457), Hdac9 (-263237)
limb.1453	Prps1l1 (-160932), Hdac9 (-294762)
limb.1454	Meox2 (-317520), 4930579E17Rik (+409443)
limb.1455	Meox2 (-314432), 4930579E17Rik (+412531)
limb.1456	Dock4 (+256498), Immp2l (-321539)
limb.1457	Npas3 (+375487), Egln3 (+579684)
limb.1458	Npas3 (+415574), Egln3 (+539597)
limb.1459	Egln3 (+357384), Npas3 (+597787)
limb.1460	Pax9 (-25888), Nkx2-9 (-56467)
limb.1461	Pax9 (+23100), Slc25a21 (+478733)
limb.1462	Slc25a21 (+245583), Pax9 (+256250)
limb.1463	Mdga2 (+97139)
limb.1464	Rps29 (-469)
limb.1465	Dact1 (-12745), Timm9 (-160564)
limb.1466	Six6 (+36631), Six1 (+69888)
limb.1467	Trmt5 (+40635), Mnat1 (+122359)
limb.1468	Slc38a6 (-6), Trmt5 (-140)
limb.1469	Slc38a6 (+55344), Tmem30b (+204194)
limb.1470	Slc38a6 (+81619), Tmem30b (+177919)
limb.1471	Slc38a6 (+83957), Tmem30b (+175581)
limb.1472	Tmem30b (+85744), Slc38a6 (+173794)
limb.1473	Tmem30b (+34644), Slc38a6 (+224894)
limb.1474	Tmem30b (+24644), Slc38a6 (+234894)
limb.1475	Gphn (-22758), Fut8 (+964955)
limb.1476	Rad51l1 (+209769), Zfp36l1 (+605962)
limb.1477	Rad51l1 (+364219), Zfp36l1 (+451512)
limb.1478	Zfp36l1 (+382862), Rad51l1 (+432869)
limb.1479	Zfp36l1 (+266174), Rad51l1 (+549557)
limb.1480	Zfp36l1 (+91837), Rad51l1 (+723894)
limb.1481	Zfp36l1 (-176)
limb.1482	Actn1 (+29977), Zfp36l1 (-117326)
limb.1483	Rgs6 (+456163), Dpf3 (+654470)
limb.1484	Dpf3 (+38220)
limb.1485	Tmed10 (-246)
limb.1486	Fos (-18363), Tmed10 (-80821)
limb.1487	Fos (-1613)
limb.1488	Fos (+12962), Jundm2 (-112553)
limb.1489	Tgfb3 (-95017), Esrrb (-187566)
limb.1490	Angel1 (-74875), 6430527G18Rik (+83485)
limb.1491	Angel1 (-76000), 6430527G18Rik (+82360)
limb.1492	6430527G18Rik (-127)
limb.1493	Nrxn3 (+698516)
limb.1494	Kcnk10 (-49688), Ptpn21 (+106966)
limb.1495	Psmc1 (+16185), Calm1 (-71025)
limb.1496	Calm1 (+83012), Rps6ka5 (+442475)
limb.1497	Ccdc88c (+38480), Gpr68 (-102624)
limb.1498	Gsc (-120217), Dicer1 (+158499)
limb.1499	Dicer1 (+127611), Gsc (-151105)
limb.1500	Dicer1 (-17476), Clmn (+95648)
limb.1501	Clmn (+50598), Dicer1 (-62526)
limb.1502	Clmn (+42760), Dicer1 (-70364)
limb.1503	Clmn (-36390), 4831426I19Rik (+97211)
limb.1504	4831426I19Rik (+59036), Clmn (-74565)
limb.1505	Bdkrb2 (-107756), Tcl1 (-232710)
limb.1506	Vrk1 (+61478)
limb.1507	Bcl11b (+891048)
limb.1508	Yy1 (-908)
limb.1509	Rtl1 (+42025), Dlk1 (+100155)
limb.1510	Rtl1 (-154575), Dio3 (-529252)
limb.1511	2010107E04Rik (+28237), Ppp1r13b (-30685)
limb.1512	Asb13 (+61216), Calml3 (+109024)
limb.1513	Asb13 (+75229), Calml3 (+95011)
limb.1514	Asb13 (+78766), Calml3 (+91474)
limb.1515	Akr1e1 (-162616)
limb.1516	Klf6 (+340266), Pitrm1 (-346402)
limb.1517	Idi1 (-177257), Adarb2 (+505808)
limb.1518	Psma2 (+222442), Gli3 (-627605)
limb.1519	Gli3 (-410118), Psma2 (+439929)
limb.1520	Hist1h2bj (+6839), V1rh17 (-37809)
limb.1521	Scgn (-76680), Lrrc16 (+212896)
limb.1522	Nrsn1 (+82842), Dcdc2a (+131103)
limb.1523	Prl (-499082)
limb.1524	Prl (-492382)
limb.1525	Prl5a1 (+266335), Sox4 (+544863)
limb.1526	Prl5a1 (+402035), Sox4 (+409163)
limb.1527	Sox4 (+263000), Prl5a1 (+548198)
limb.1528	Cdkal1 (+438506), Sox4 (-463400)
limb.1529	Foxc1 (+46886), Gmds (+485012)
limb.1530	Foxc1 (+164486), Gmds (+367412)
limb.1531	Foxc1 (+186661), Gmds (+345237)
limb.1532	Gmds (-154363), Wrnip1 (-309131)
limb.1533	Gmds (-180338), Wrnip1 (-283156)
limb.1534	Rreb1 (-264553), Ly86 (+283874)
limb.1535	Slc35b3 (-451275)
limb.1536	Tcfap2a (+159263)
limb.1537	9530008L14Rik (+149044), Nedd9 (-339443)
limb.1538	Cd83 (+33529), Jarid2 (-912171)
limb.1539	Cd83 (+145766), Jarid2 (-799934)
limb.1540	Cd83 (+173616), Jarid2 (-772084)
limb.1541	Cd83 (+241654), Jarid2 (-704046)
limb.1542	Cd83 (+446979), Jarid2 (-498721)
limb.1543	Jarid2 (-310896), Cd83 (+634804)
limb.1544	Jarid2 (-234296), Cd83 (+711404)
limb.1545	Jarid2 (-94846), Cd83 (+850854)
limb.1546	Jarid2 (+65191), Dtnbp1 (+206002)
limb.1547	Mylip (+24577), Gmpr (-93150)
limb.1548	Id4 (+3767), Zfp169 (+248200)
limb.1549	Ptpdc1 (+19466), Zfp169 (-92713)
limb.1550	Spin1 (+34171), Nxnl2 (-35956)
limb.1551	Nxnl2 (+50419), Edg3 (-187320)
